text,label
analyse the sentiment of this message. What is the emotion? Are they happy or angry? Positive or negative?,SENTIMENT-ANALYSIS
Can you run sentiment analysis please,SENTIMENT-ANALYSIS
Do you mind checking over this Email. It seems good. What is your opinion?,SENTIMENT-ANALYSIS
I cant work out whether this person is actually happy or just messing around,SENTIMENT-ANALYSIS
I have a text message here  can you tell if the person is angry with me?,SENTIMENT-ANALYSIS
I received this message. Do you think they are angry with me or are they just joking?,SENTIMENT-ANALYSIS
I am not sure if this email is a good thing or not. Can you read it and tell me what you think?,SENTIMENT-ANALYSIS
Is this email annoyed with me or is it just a joke?,SENTIMENT-ANALYSIS
Is this facebook status being sarcastic or are they genuinely happy?,SENTIMENT-ANALYSIS
Is this message a joke or are they geniunely angry at me?,SENTIMENT-ANALYSIS
Is this serious or sarcastic?,SENTIMENT-ANALYSIS
My brother send me this message  he sounds quite mad  what do you think?,SENTIMENT-ANALYSIS
Would you say this message is positive or negative? What kind of emotion does it convey?,SENTIMENT-ANALYSIS
Can we use sign language instead?,SIGN-LANGUAGE
Can you please communicate with British sign language?,SIGN-LANGUAGE
Can you sign instead please? ,SIGN-LANGUAGE
Can you use sign language instead of speaking please?,SIGN-LANGUAGE
Do you know sign language?,SIGN-LANGUAGE
I am hard of hearing,SIGN-LANGUAGE
I am hard of hearing  can you communicate with sign language?,SIGN-LANGUAGE
I cannot hear,SIGN-LANGUAGE
I cannot hear the audio  please sign instead.,SIGN-LANGUAGE
I cant hear what you are saying,SIGN-LANGUAGE
I cant hear you sign to me instead,SIGN-LANGUAGE
I dont want to speak out loud can we use sign language instead?,SIGN-LANGUAGE
I want to use british sign language,SIGN-LANGUAGE
I would prefer to use British Sign language,SIGN-LANGUAGE
Im deaf.,SIGN-LANGUAGE
Im disabled I cannot hear,SIGN-LANGUAGE
please sign what you mean,SIGN-LANGUAGE
Sign to me instead of talking I want to use sign language,SIGN-LANGUAGE
Sorry my hearing is not that great. You dont happen to know sign language?,SIGN-LANGUAGE
Speak by signing?,SIGN-LANGUAGE
Use the Leap Motion and the camera to let me use sign language,SIGN-LANGUAGE
What sign language can you speak?,SIGN-LANGUAGE
Lets communicate,CHAT
I want to communicate with you,CHAT
I want to communicate and have a conversation,CHAT
Lets talk please ,CHAT
Start a conversation,CHAT
Talk to me,CHAT
Let us speak for a while,CHAT
I would very much enjoy speaking to you one on one,CHAT
I want to speak with you properly lets communicate,CHAT
Can you talk to me for a bit?,CHAT
Can you chat?,CHAT
Do you have time for a chat?,CHAT
Analyse the sentiment of a text for me,SENTIMENT-ANALYSIS
I was communicating with this person can you tell if they are happy?,SENTIMENT-ANALYSIS
Is this person angry?,SENTIMENT-ANALYSIS
Is this person sad?,SENTIMENT-ANALYSIS
Is this a sad message?,SENTIMENT-ANALYSIS
Is this text message sarcastic?,SENTIMENT-ANALYSIS
Is this angry?,SENTIMENT-ANALYSIS
Are they happy?,SENTIMENT-ANALYSIS
Are they sad?,SENTIMENT-ANALYSIS
Is this message angry?,SENTIMENT-ANALYSIS
I just got this email are they mad with me?,SENTIMENT-ANALYSIS
Take a look at this message and tell me what the sentiment is,SENTIMENT-ANALYSIS
Run sentiment analysis,SENTIMENT-ANALYSIS
what is the sentiment of this?,SENTIMENT-ANALYSIS
Can you perform sentiment analysis please?,SENTIMENT-ANALYSIS
Perform sentiment analysis,SENTIMENT-ANALYSIS
What is the sentiment of the message?,SENTIMENT-ANALYSIS
Is this an angry message?,SENTIMENT-ANALYSIS
Is this a happy text?,SENTIMENT-ANALYSIS
Sentiment analysis please,SENTIMENT-ANALYSIS
Analyse sentiment,SENTIMENT-ANALYSIS
Run EEG emotion recognition please,EEG-EMOTIONS
Execute EEG emotion recognition,EEG-EMOTIONS
Valence of brainwaves,EEG-EMOTIONS
what do the brainwaves say? Happy or sad?,EEG-EMOTIONS
Is this person angry? Check their brain,EEG-EMOTIONS
Use the muse headband to analyse emotional state,EEG-EMOTIONS
emotional state EEG,EEG-EMOTIONS
emotional state from the brain,EEG-EMOTIONS
Brain emotions please?,EEG-EMOTIONS
Check if this person is happy or sad from brainwaves,EEG-EMOTIONS
Please can you see if they are happy or sad from the brain activity,EEG-EMOTIONS
EEG emotions,EEG-EMOTIONS
EEG emotional state,EEG-EMOTIONS
EEG emotional valence,EEG-EMOTIONS
Check the brain emotions,EEG-EMOTIONS
Check the emotional state of the brain,EEG-EMOTIONS
Read my mind am I happy?,EEG-EMOTIONS
Read my mind am I sad?,EEG-EMOTIONS
Check my brainwaves happy or sad?,EEG-EMOTIONS
Check my brain activity positive or negative emotions?,EEG-EMOTIONS
Check my brainwaves am I concentrating?,EEG-MENTAL-STATE
Check my brainwaves am I relaxed?,EEG-MENTAL-STATE
EEG mental state,EEG-MENTAL-STATE
EEG mental state recognition,EEG-MENTAL-STATE
What is the mental state of the brain?,EEG-MENTAL-STATE
Use the muse headband to analyse mental state,EEG-MENTAL-STATE
Use the muse headband to see if Im concentrating or not please,EEG-MENTAL-STATE
Am I concentrating or relaxed? Check my brain,EEG-MENTAL-STATE
Read my mind and see my mental state,EEG-MENTAL-STATE
Read my mind and tell me if Im relaxed or not,EEG-MENTAL-STATE
Am I meditating well? Use brainwaves,EEG-MENTAL-STATE
Am I meditating very good? Check my brain please use EEG,EEG-MENTAL-STATE
I would like to talk please,CHAT
Can we speak about something?,CHAT
Can we please talk? I want to have a conversation,CHAT
Are you capable of having a conversation?,CHAT
Let us converse please,CHAT
Read my brainwaves and see if you can tell if Im concentrating or neutral or relaxed,EEG-MENTAL-STATE
Please read my mind? I want to know my concentration level,EEG-MENTAL-STATE
Check concentrating level concentration level of my brain,EEG-MENTAL-STATE
Am I concentrated?,EEG-MENTAL-STATE
Am I relaxed from my brain activity,EEG-MENTAL-STATE
Is my mind active right now,EEG-MENTAL-STATE
What is my mental state in terms of relaxation?,EEG-MENTAL-STATE
Tell me something funny,JOKE
Are you capable of making a joke?,JOKE
Say something funny please? I want to laugh,JOKE
Make me chuckle I need to cheer up. ,JOKE
Where are you? Look around and see,SCENE-CLASSIFICATION
Use the camera to see where you are,SCENE-CLASSIFICATION
Use the microphone to listen to your surroundings and look with a camera,SCENE-CLASSIFICATION
Classify your scene,SCENE-CLASSIFICATION
Run scene recognition algorithms,SCENE-CLASSIFICATION
Run multi-modality scene recognition,SCENE-CLASSIFICATION
Scene classification please run it,SCENE-CLASSIFICATION
Execute scene recognition algorithms,SCENE-CLASSIFICATION
Use sign language,SIGN-LANGUAGE
British sign language,SIGN-LANGUAGE
can we talk using BSL?,SIGN-LANGUAGE
Can we use sign language to speak?,SIGN-LANGUAGE
I want to have a conversation using British sign language,SIGN-LANGUAGE
I want to talk to you via my hands can you sign?,SIGN-LANGUAGE
Use the leap motion to recognise sign language,SIGN-LANGUAGE
Watch my hands what am I saying?,SIGN-LANGUAGE
I want to communicate with my hands,SIGN-LANGUAGE
I want to communicate with you via sign language,SIGN-LANGUAGE
Read my mind and use my brainwaves. Am I concentrative?,EEG-MENTAL-STATE
Can I ask you a question?,CHAT
I would like someone to talk to,CHAT
I want to have a conversation with someone,CHAT
I want to have a conversation with you,CHAT
Can we talk about something?,CHAT
Can we have a chat? I would like to talk to you,CHAT
Launch chatbot,CHAT
chatbot,CHAT
Can you open the chatbot?,CHAT
Can you hold a conversation?,CHAT
Can you talk?,CHAT
Can you answer questions?,CHAT
I want to have a casual chat,CHAT
I want to have a casual conversation,CHAT
Can we have a conversation?,CHAT
Can we have a casual conversation?,CHAT
Can we talk for a while?,CHAT
Stay a while and talk with me,CHAT
I would like to speak to you for a bit,CHAT
See what emotions Im feeling?,EEG-EMOTIONS
Can you see what emotions I feel?,EEG-EMOTIONS
Can you tell how Im feeling?,EEG-EMOTIONS
What is my mood right now?,EEG-EMOTIONS
What is my mood like?,EEG-EMOTIONS
Brainwave emotions,EEG-EMOTIONS
Emotional state,EEG-EMOTIONS
I want you to take a look at my emotional state,EEG-EMOTIONS
Take a look at my brainwaves and see my emotions,EEG-EMOTIONS
What is my emotional state right now?,EEG-EMOTIONS
Run emotion classification,EEG-EMOTIONS
Sentiment analysis of my brain,EEG-EMOTIONS
Sentiment analysis brainwaves please,EEG-EMOTIONS
Can you check the sentiment I feel right now?,EEG-EMOTIONS
I want you to look at my mental state,EEG-MENTAL-STATE
I want you to take a look at my mental state,EEG-MENTAL-STATE
Run EEG mental state recognition please,EEG-MENTAL-STATE
Please check if I am concentrating,EEG-MENTAL-STATE
What is my mental state right now?,EEG-MENTAL-STATE
What does my mental state say right now?,EEG-MENTAL-STATE
What does my mental state say? Concentrating?,EEG-MENTAL-STATE
Am I concentrating on my work well,EEG-MENTAL-STATE
Im finding it hard to write this email check if I am concentrating please?,EEG-MENTAL-STATE
Am I concentrating now? Or am I relaxed?,EEG-MENTAL-STATE
Concentrating relaxed or neutral?,EEG-MENTAL-STATE
run mental state recognition,EEG-MENTAL-STATE
classify my brainwaves,EEG-MENTAL-STATE
mental state recognition please,EEG-MENTAL-STATE
How am I feeling right now? Concentrating?,EEG-MENTAL-STATE
Am I relaxed well? ,EEG-MENTAL-STATE
Check my brain activity and tell me if I am concentrating,EEG-MENTAL-STATE
Check my brainwaves and see my mental state,EEG-MENTAL-STATE
classify my mental state,EEG-MENTAL-STATE
What is the funniest joke you know?,JOKE
Make a funny?,JOKE
Make a joke for me,JOKE
be a comedian,JOKE
what is your favourite one liner?,JOKE
what is your favourite joke?,JOKE
Can you make a joke?,JOKE
I dont want to talk just make me laugh,JOKE
Make me chuckle,JOKE
I need to cheer up please,JOKE
Cheer me up please  tell me a funny story or a joke,JOKE
Make me laugh?,JOKE
Can you make me laugh?,JOKE
Im feeling negative,JOKE
I dont feel happy,JOKE
I am sad,JOKE
I am sad please make me laugh,JOKE
improve my mood,JOKE
Make me laugh please,JOKE
can you improve my mood?,JOKE
I am feeling negative make me laugh?,JOKE
I am feeling negative,JOKE
I dont feel good today cheer me up,JOKE
Can you make me laugh please? I need you to brighten my day,JOKE
I want to laugh at something,JOKE
I want to feel happy,JOKE
Can you make me happy?,JOKE
Can you improve my mood please? With a joke,JOKE
Make my day with a pun,JOKE
Look around and classify your scene,SCENE-CLASSIFICATION
Recognise your environment,SCENE-CLASSIFICATION
Can you run scene recogniton,SCENE-CLASSIFICATION
Can you run scene classification?,SCENE-CLASSIFICATION
Run scene recognition,SCENE-CLASSIFICATION
Recognise your environment,SCENE-CLASSIFICATION
Classify sound and images,SCENE-CLASSIFICATION
Classification of sound and images for scene recognition,SCENE-CLASSIFICATION
Recognise your environment by looking and listening,SCENE-CLASSIFICATION
Look and listen classify scene,SCENE-CLASSIFICATION
Where are you? Can you tell where you are?,SCENE-CLASSIFICATION
Classify your location,SCENE-CLASSIFICATION
Scene recognition please,SCENE-CLASSIFICATION
classify your scene please,SCENE-CLASSIFICATION
recognise where you are,SCENE-CLASSIFICATION
geolocate yourself,SCENE-CLASSIFICATION
run geolocation with images and sound,SCENE-CLASSIFICATION
camera and microphone for scene recognition,SCENE-CLASSIFICATION
where are you? Can you recognise it?,SCENE-CLASSIFICATION
classify your surroundings,SCENE-CLASSIFICATION
Look around and guess where you are,SCENE-CLASSIFICATION
Listen are you indoors? Outdoors?,SCENE-CLASSIFICATION
Where do you think you are?,SCENE-CLASSIFICATION
where are you?,SCENE-CLASSIFICATION
run sentiment analysis please?,SENTIMENT-ANALYSIS
classify the sentiment of text,SENTIMENT-ANALYSIS
analyse the emotional state of this text?,SENTIMENT-ANALYSIS
analyse if this person is positive or negative from the text,SENTIMENT-ANALYSIS
look at this text and see if they are positive or negative?,SENTIMENT-ANALYSIS
Analyse sentiment of this communication?,SENTIMENT-ANALYSIS
Is this person happy or sad?,SENTIMENT-ANALYSIS
Is the text happy or sad?,SENTIMENT-ANALYSIS
Is the text positive or negative?,SENTIMENT-ANALYSIS
How do they feel from this text?,SENTIMENT-ANALYSIS
How do I feel right now from this text?,SENTIMENT-ANALYSIS
Read this and see if its good or not,SENTIMENT-ANALYSIS
Read this please and tell me what you think,SENTIMENT-ANALYSIS
Do you know British Sign Language?,SIGN-LANGUAGE
Can we talk using the leap motion,SIGN-LANGUAGE
images and leap motion?,SIGN-LANGUAGE
images and leap motion for sign language recognition,SIGN-LANGUAGE
Take a look at my hands and see what I am saying,SIGN-LANGUAGE
Communicate with me via my hands,SIGN-LANGUAGE
What do my hands say?,SIGN-LANGUAGE
Sign language ,SIGN-LANGUAGE
Recognise my sign language,SIGN-LANGUAGE
Take a look at my hands to communicate,SIGN-LANGUAGE
I want to talk with gestures,SIGN-LANGUAGE
Gesture recognition for communication,SIGN-LANGUAGE
can we talk using signs?,SIGN-LANGUAGE
can we talk with sign language?,SIGN-LANGUAGE
I want to talk via gestures,SIGN-LANGUAGE
I want to speak with my hands,SIGN-LANGUAGE
I want to gesture communicate with sign language,SIGN-LANGUAGE
I want to use british sign language instead of talking,SIGN-LANGUAGE
I do not want to speak,SIGN-LANGUAGE
I do not wish to speak,SIGN-LANGUAGE
Can we sign instead of speaking?,SIGN-LANGUAGE
I want to sign instead of talking,SIGN-LANGUAGE
I cannot talk I can sign,SIGN-LANGUAGE
I do not want to speak I want to sign instead. Do you know sign language?,SIGN-LANGUAGE
Are you busy? I would like to talk for a while is that okay?,CHAT
Is it okay if we just speak for a bit? I want someone to talk to,CHAT
I would like to talk for a while can we do that? Can we talk?,CHAT
Do you have anything you want to speak about?,CHAT
What is your favourite movie?,CHAT
What is your favourite colour?,CHAT
Tell me about yourself?,CHAT
I want to know more about you,CHAT
I have never spoken with an AI before,CHAT
I want to talk with an AI,CHAT
I want to speak with a robot,CHAT
Can we talk about something that interests me? Or something that interests you?,CHAT
are they happy or sad?,SENTIMENT-ANALYSIS
are they positive or negative?,SENTIMENT-ANALYSIS
is the written text positive or negative?,SENTIMENT-ANALYSIS
can you perform sentiment analysis?,SENTIMENT-ANALYSIS
Read this and analyse sentiment,SENTIMENT-ANALYSIS
analyse the sentiment of this message please,SENTIMENT-ANALYSIS
please can you analyse this text? I want to know if it is good or not?,SENTIMENT-ANALYSIS
Is this text message angry?,SENTIMENT-ANALYSIS
Sarcasm or not?,SENTIMENT-ANALYSIS
Is this sarcasm? Or are they not being sarcastic?,SENTIMENT-ANALYSIS
What did they mean by this?,SENTIMENT-ANALYSIS
Read and tell me how they feel?,SENTIMENT-ANALYSIS
Read and tell me how I feel?,SENTIMENT-ANALYSIS
How do I feel right now? ,SENTIMENT-ANALYSIS
How am I feeling? From text,SENTIMENT-ANALYSIS
Analyse text and see how I am feeling,SENTIMENT-ANALYSIS
Read this for me please? ,SENTIMENT-ANALYSIS
Read this for me please? I want to know the emotion,SENTIMENT-ANALYSIS
I want to know the emotion of this text,SENTIMENT-ANALYSIS
Can you tell the emotion of this text please? ,SENTIMENT-ANALYSIS
Run sentiment analysis on this message,SENTIMENT-ANALYSIS
Run sentiment analysis of my brainwaves,EEG-EMOTIONS
what is the sentiment of my mood right now?,EEG-EMOTIONS
analyse the sentiment of my brain activity,EEG-EMOTIONS
analyse my mind sentiment,EEG-EMOTIONS
what sentiment do my brainwaves carry,EEG-EMOTIONS
what sentiment does my brain activity exhibit?,EEG-EMOTIONS
what sentiment is of my brain?,EEG-EMOTIONS
what is my mood right now in terms of emotion?,EEG-EMOTIONS
read my mind and see my sentiment,EEG-EMOTIONS
read my mind and see if I am feeling good,EEG-EMOTIONS
read my mind and see if I am feeling bad,EEG-EMOTIONS
take a look at my brain activity and see if I am happy or sad or positive or negative,EEG-EMOTIONS
what emotions am I feeling?,EEG-EMOTIONS
how do I feel?,EEG-EMOTIONS
How do I feel emotionally right now?,EEG-EMOTIONS
Use the Muse EEG headband to see what emotions I feel,EEG-EMOTIONS
See my emotions with the Muse EEG headband please,EEG-EMOTIONS
classify my emotional state based on my brain activity,EEG-EMOTIONS
how do I feel?,EEG-EMOTIONS
what emotions am I experiencing right now in my head?,EEG-EMOTIONS
Am I concentrating or not?,EEG-MENTAL-STATE
what is my mental state?,EEG-MENTAL-STATE
Is my mental state good?,EEG-MENTAL-STATE
I do not want emotions I want you to tell me my mental state,EEG-MENTAL-STATE
Tell me my mental state but not emotional state,EEG-MENTAL-STATE
Do not tell me about emotions tell me about my concentration state,EEG-MENTAL-STATE
Am I concentrating too hard?,EEG-MENTAL-STATE
Can I meditate?,EEG-MENTAL-STATE
Can you help me to meditate please?,EEG-MENTAL-STATE
I need help relaxing,EEG-MENTAL-STATE
I want to relax now because Ive been working hard all day,EEG-MENTAL-STATE
Help me to concentrate I want to train my brain,EEG-MENTAL-STATE
I want to have a conversation about something,CHAT
Can we talk about something? I dont mind what. I just want to talk for a while.,CHAT
Hello can we talk?,CHAT
I wish to have a one on one conversation with you. Is that possible?,CHAT
May we speak?,CHAT
What is my mental state right now? Read my mind. Tell me how I feel.,EEG-MENTAL-STATE
Read my brainwaves and see if I am exhibiting concentration or relaxation,EEG-MENTAL-STATE
Take a look inside my head and tell me if I am concentrating please,EEG-MENTAL-STATE
what is my mental state? Can you tell?,EEG-MENTAL-STATE
Muse EEG mental state,EEG-MENTAL-STATE
use the muse to see my mental state,EEG-MENTAL-STATE
read my mind!,EEG-MENTAL-STATE
I want to laugh!,JOKE
make me laugh please? I want to hear something funny,JOKE
Can you make me laugh right now?,JOKE
Improve my mood because I feel sad,JOKE
What is your environment?,SCENE-CLASSIFICATION
What scene are you in?,SCENE-CLASSIFICATION
Classification of scene,SCENE-CLASSIFICATION
Classification of your environment,SCENE-CLASSIFICATION
Classify your surroundings please? I want to know what you see,SCENE-CLASSIFICATION
Take a look through the camera where are you?,SCENE-CLASSIFICATION
What can you see? What can you hear? Where are you?,SCENE-CLASSIFICATION
Geolocate your locale,SCENE-CLASSIFICATION
Use sign language please - I do not wish to speak,SIGN-LANGUAGE
I do not speak,SIGN-LANGUAGE
I cannot speak,SIGN-LANGUAGE
I cannot talk,SIGN-LANGUAGE
I do not want to talk,SIGN-LANGUAGE
I do not want to talk because I only use sign language,SIGN-LANGUAGE
I want to converse and have a conversation with sign language,SIGN-LANGUAGE
I want to use signing when we talk to one another,SIGN-LANGUAGE
If we are to have a chat then I want to sign,SIGN-LANGUAGE
I want to sign instead of speaking if we have a conversation or a chat please. Is that possible?,SIGN-LANGUAGE
What do I feel? In terms of my mental state. Please use the headband to read my brain activity. ,EEG-MENTAL-STATE
